nomes,linguagens
agrinho-project,HTML
aluratube,JavaScript
automation-pyautogui,Python
blog-node,JavaScript
cards-with-json,JavaScript
coding-interview-university,
computer-vision-basics-in-microsoft-excel,
Convert-to-PDF,HTML
cordel-moderno,HTML
cronometro-objetivos,HTML
dollar-api,Python
Drafts-in-python,Python
gerador_cpf,Python
historia-android,HTML
interface-login,CSS
Json-Web-Token,Go
linguagens-utilizadas,
lyric-finder,HTML
missao-ia,JavaScript
phtoaldo,
starting-ml,Jupyter Notebook
training-golang,Go
web-automation,Python
